"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/23/2023","AMZN Mktp US*1P9ES1JR3 Amzn.com/bill WA","AMZN Mktp US*1P9ES1JR3 Amzn.com/bill WA","23.37","debit","Shopping","Citi Double Cash® Card","",""
"1/23/2023","CUMBERLAND FARMS 1280","CUMBERLAND FARMS 1280","42.67","debit","Gas & Fuel","JetBlue","",""
"1/23/2023","STOCK CULINARY GOODS","STOCK CULINARY GOODS","18.00","debit","Fast Food","JetBlue","",""
"1/22/2023","LENNYS NEWSLETTER SAN FRANCISCO CA","LENNYS NEWSLETTER SAN FRANCISCO CA","15.00","debit","Advertising","Citi Double Cash® Card","",""
"1/22/2023","DDOSECRETS SAN FRANCISCO CA","DDOSECRETS SAN FRANCISCO CA","5.00","debit","Printing","Citi Double Cash® Card","",""
"1/22/2023","AMAZON.COM*3C8AG7CV3 A AMZN.COM/BILL WA","AMAZON.COM*3C8AG7CV3 A AMZN.COM/BILL WA","245.02","debit","Shopping","Citi Double Cash® Card","",""
"1/22/2023","APPLE.COM/BILL 866-712-7753 CA","APPLE.COM/BILL 866-712-7753 CA","5.34","debit","Electronics & Software","Citi Double Cash® Card","",""
"1/22/2023","CVS/PHARMACY #00729","CVS/PHARMACY #00729","20.67","debit","Pharmacy","JetBlue","",""
"1/21/2023","TST* KNEAD Doughnuts - Providence RI","TST* KNEAD Doughnuts - Providence RI","18.46","debit","Restaurants","Citi Double Cash® Card","",""
"1/20/2023","NIKKIS LIQUORS PROVIDENCE RI","NIKKIS LIQUORS PROVIDENCE RI","18.18","debit","Alcohol & Bars","Citi Double Cash® Card","",""
"1/20/2023","TST* Chomp - Providenc","TST* Chomp - Providenc","82.04","debit","Restaurants","JetBlue","",""
"1/19/2023","SEVEN STARS BAKERY - H","SEVEN STARS BAKERY - H","1.45","debit","Restaurants","JetBlue","",""
"1/19/2023","EVERYPLATE 973-210-4915 NY","EVERYPLATE 973-210-4915 NY","62.89","debit","Groceries","Citi Double Cash® Card","",""
"1/19/2023","PayrollDeduction","PayrollDeduction","487.50","credit","Investments","Guideline's Aggressive Portfolio","",""
"1/18/2023","SEVEN STARS BAKERY BR 401-5212200 RI","SEVEN STARS BAKERY BR 401-5212200 RI","31.22","debit","Coffee Shops","Citi Double Cash® Card","",""
"1/18/2023","TMOBILE POSTPAID WEB","TMOBILE POSTPAID WEB","188.00","debit","Mobile Phone","JetBlue","",""
"1/18/2023","AMZN Mktp US*JX9TZ3VQ3 Amzn.com/bill WA","AMZN Mktp US*JX9TZ3VQ3 Amzn.com/bill WA","30.48","debit","Shopping","Citi Double Cash® Card","",""
"1/18/2023","Zelle payment from Michael P Morisy (Ally Interest Checking ","Zelle payment from Michael P Morisy (Ally Interest Checking","1650.00","debit","Transfer","Interest Checking","",""
"1/18/2023","VENMO CASHOUT","VENMO CASHOUT","2400.00","credit","Transfer","Interest Checking","",""
"1/18/2023","Rebalance","Rebalance","439.15","credit","Investments","Guideline's Aggressive Portfolio","",""
"1/17/2023","ParticipantAumFee","ParticipantAumFee","3.62","credit","Investments","Guideline's Aggressive Portfolio","",""
"1/16/2023","TST* KNEAD Doughnuts - Providence RI","TST* KNEAD Doughnuts - Providence RI","9.35","debit","Restaurants","Citi Double Cash® Card","",""
"1/16/2023","UBER TRIP 8005928996 CA","UBER TRIP 8005928996 CA","11.98","debit","Ride Share","Citi Double Cash® Card","",""
"1/16/2023","STOCK CULINARY GOODS","STOCK CULINARY GOODS","135.85","debit","Fast Food","JetBlue","",""
"1/15/2023","TST* KNEAD Doughnuts - Providence RI","TST* KNEAD Doughnuts - Providence RI","11.20","debit","Restaurants","Citi Double Cash® Card","",""
"1/14/2023","Amazon.com*KF2PG0OT3 Amzn.com/bill WA","Amazon.com*KF2PG0OT3 Amzn.com/bill WA","23.14","debit","Shopping","Citi Double Cash® Card","",""
"1/14/2023","BFRESH-EASTSIDEMKT2706 PROVIDENCE RI","BFRESH-EASTSIDEMKT2706 PROVIDENCE RI","2.00","debit","Groceries","Citi Double Cash® Card","",""
"1/13/2023","BFRESH-EASTSIDEMKT2706 PROVIDENCE RI","BFRESH-EASTSIDEMKT2706 PROVIDENCE RI","28.11","debit","Groceries","Citi Double Cash® Card","",""
"1/13/2023","SP BOTTLES FINE WINE PROVIDENCE RI","SP BOTTLES FINE WINE PROVIDENCE RI","26.73","debit","Alcohol & Bars","Citi Double Cash® Card","",""
"1/13/2023","GUSTO PAYROLL PAY 551970","GUSTO PAYROLL PAY 551970","3509.34","credit","Paycheck","Interest Checking","",""
"1/12/2023","EVERYPLATE 973-210-4915 NY","EVERYPLATE 973-210-4915 NY","9.98","debit","Food & Dining","Citi Double Cash® Card","",""
"1/12/2023","EVERYPLATE 973-210-4915 NY","EVERYPLATE 973-210-4915 NY","62.89","debit","Groceries","Citi Double Cash® Card","",""
"1/12/2023","NFGOPENNEWS 8882847978 DC","NFGOPENNEWS 8882847978 DC","10.30","debit","Charity","Citi Double Cash® Card","",""
"1/11/2023","SQ *MODERN DOG TRAININ gosq.com RI","SQ *MODERN DOG TRAININ gosq.com RI","82.50","debit","Pets","Citi Double Cash® Card","",""
"1/11/2023","STOP&SHOP 725 800-573-2763 RI","STOP&SHOP 725 800-573-2763 RI","93.84","debit","Groceries","Citi Double Cash® Card","",""
"1/11/2023","STOCK CULINARY GOODS PROVIDENCE RI","STOCK CULINARY GOODS PROVIDENCE RI","36.00","debit","Fast Food","Citi Double Cash® Card","",""
"1/11/2023","MEGA LIMITED","MEGA LIMITED","10.75","debit","Entertainment","JetBlue","",""
"1/11/2023","CVS/PHARMACY #02234 PAWTUCKET RI","CVS/PHARMACY #02234 PAWTUCKET RI","67.62","debit","Pharmacy","Citi Double Cash® Card","",""
"1/11/2023","LYFT *1 RIDE 01-09 SAN FRANCISCO CA","LYFT *1 RIDE 01-09 SAN FRANCISCO CA","82.68","debit","Ride Share","Citi Double Cash® Card","",""
"1/10/2023","Interest Paid","Interest Paid","3.88","credit","Interest Income","Interest Checking","",""
"1/10/2023","Interest Paid","Interest Paid","13.58","credit","Interest Income","Online Savings Account","",""
"1/10/2023","INTEREST CHARGED TO STANDARD PURCH","INTEREST CHARGED TO STANDARD PURCH","185.50","debit","Finance Charge","Citi Double Cash® Card","",""
"1/10/2023","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","0.43","debit","Service Fee","Citi Double Cash® Card","",""
"1/10/2023","VENMO PAYMENT","VENMO PAYMENT","110.00","debit","Transfer","Interest Checking","",""
"1/08/2023","TST* DRACULA'S LEGACY SAINT PETERSB FL","TST* DRACULA'S LEGACY SAINT PETERSB FL","45.01","debit","Restaurants","Citi Double Cash® Card","",""
"1/08/2023","APPLE.COM/BILL 866-712-7753 CA","APPLE.COM/BILL 866-712-7753 CA","10.69","debit","Electronics & Software","Citi Double Cash® Card","",""
"1/08/2023","MBRSHIP - INTERNAL SAL 401-868-2000 RI","MBRSHIP - INTERNAL SAL 401-868-2000 RI","14.93","debit","Auto & Transport","Citi Double Cash® Card","",""
"1/08/2023","GOOGLE *Google Storage 650-253-0000 CA","GOOGLE *Google Storage 650-253-0000 CA","31.86","debit","Internet","Citi Double Cash® Card","",""
"1/07/2023","UBER TRIP 8005928996 CA","UBER TRIP 8005928996 CA","71.95","debit","Ride Share","Citi Double Cash® Card","",""
"1/07/2023","TST* Cassis St. Pete Saint Petersb FL","TST* Cassis St. Pete Saint Petersb FL","78.94","debit","Restaurants","Citi Double Cash® Card","",""
"1/07/2023","UBER TRIP 8005928996 CA","UBER TRIP 8005928996 CA","47.97","debit","Ride Share","Citi Double Cash® Card","",""
"1/06/2023","MBTA MTICKET 617-222-3200 MA","MBTA MTICKET 617-222-3200 MA","12.25","debit","Public Transportation","Citi Double Cash® Card","",""
"1/06/2023","TAPAS @ PONCE SAINT PETERSB FL","TAPAS @ PONCE SAINT PETERSB FL","72.99","debit","Alcohol & Bars","Citi Double Cash® Card","",""
"1/05/2023","FIGO PET INS 8449140370 IL","FIGO PET INS 8449140370 IL","32.37","debit","Pets","Citi Double Cash® Card","",""
"1/05/2023","EVERYPLATE 973-210-4915 NY","EVERYPLATE 973-210-4915 NY","62.89","debit","Groceries","Citi Double Cash® Card","",""
"1/05/2023","DividendUnit","DividendUnit","14.47","credit","Investments","Guideline's Aggressive Portfolio","",""
"1/05/2023","PayrollDeduction","PayrollDeduction","487.50","credit","Investments","Guideline's Aggressive Portfolio","",""
"1/04/2023","LUCKY ENOUGH PROVIDENCE RI","LUCKY ENOUGH PROVIDENCE RI","55.61","debit","Groceries","Citi Double Cash® Card","",""
"1/03/2023","BFRESH-EASTSIDEMKT2706 PROVIDENCE RI","BFRESH-EASTSIDEMKT2706 PROVIDENCE RI","45.66","debit","Groceries","Citi Double Cash® Card","",""
"1/03/2023","BARCLAYCARD US CREDITCARD","BARCLAYCARD US CREDITCARD","1108.97","debit","Credit Card Payment","Interest Checking","",""
"1/03/2023","PAYPAL INST XFER","PAYPAL INST XFER","4.00","debit","Transfer","Interest Checking","",""
"1/03/2023","AMEX EPAYMENT ACH PMT","AMEX EPAYMENT ACH PMT","187.49","debit","Credit Card Payment","Interest Checking","",""
"1/03/2023","CITI CARD ONLINE PAYMENT","CITI CARD ONLINE PAYMENT","5549.89","debit","Credit Card Payment","Interest Checking","",""
"1/03/2023","CITI CARD ONLINE PAYMENT","CITI CARD ONLINE PAYMENT","11500.00","debit","Credit Card Payment","Interest Checking","",""
"1/02/2023","SCALAWAG DURHAM NC","SCALAWAG DURHAM NC","10.00","debit","Business Services","Citi Double Cash® Card","",""
"1/02/2023","JETBLUE","JETBLUE","11.20","credit","Air Travel","JetBlue","",""
"1/02/2023","Payment Received","Payment Received","1108.97","credit","Credit Card Payment","JetBlue","",""
"1/02/2023","JETBLUE   2792111481264","JETBLUE   2792111481264","11.20","debit","Air Travel","JetBlue","",""
"1/02/2023","JETBLUE   2792111484349","JETBLUE   2792111484349","11.20","debit","Air Travel","JetBlue","",""
"1/02/2023","JETBLUE","JETBLUE","11.20","credit","Air Travel","JetBlue","",""
"1/02/2023","JETBLUE   2792111481263","JETBLUE   2792111481263","11.20","debit","Air Travel","JetBlue","",""
"1/02/2023","JETBLUE   2792111484348","JETBLUE   2792111484348","11.20","debit","Air Travel","JetBlue","",""
"1/02/2023","SQ *OGIE'S TRAILER PAR Providence RI","SQ *OGIE'S TRAILER PAR Providence RI","16.25","debit","Restaurants","Citi Double Cash® Card","",""
"1/01/2023","CKO*PATREON* MEMBERSHIP 833-972-8766 CA
CKO*PATREON* MEMBERSHIP","CKO*PATREON* MEMBERSHIP 833-972-8766 CA
CKO*PATREON* MEMBERSHIP","21.00","debit","Gym","DISCOVER IT CARD","",""
"1/01/2023","GOOGLE LLC GSUITE MORI MOUNTAIN VIEWCA","GOOGLE LLC GSUITE MORI MOUNTAIN VIEWCA","6.38","debit","Advertising","DISCOVER IT CARD","",""
"1/01/2023","YMCA OF GREATER PROVID 401-5219622 RI","YMCA OF GREATER PROVID 401-5219622 RI","59.00","debit","Gym","Citi Double Cash® Card","",""
"1/01/2023","SHELL OIL 57542980701 PROVIDENCE RI","SHELL OIL 57542980701 PROVIDENCE RI","48.50","debit","Gas & Fuel","Citi Double Cash® Card","",""
"1/01/2023","SHELL OIL 57542980701 PROVIDENCE RI","SHELL OIL 57542980701 PROVIDENCE RI","5.97","debit","Gas & Fuel","Citi Double Cash® Card","",""
"1/01/2023","XACO TACO PROVIDENCE RI","XACO TACO PROVIDENCE RI","60.93","debit","Restaurants","Citi Double Cash® Card","",""
"1/01/2023","SQ *GRANNY BOO'S KITCH Providence RI","SQ *GRANNY BOO'S KITCH Providence RI","7.00","debit","Fast Food","Citi Double Cash® Card","",""
